Timestamp,Test Time,Log Comments,PS_V,960V,PS_I,RLeads,Pressure,Tset,Snout Coil Set,ADR 50mK,PT 60K,PT 3K,Magnet Diode,Auxiliary,ADR 1K,Magnet RTD,H20 Inlet Temp,H20 Outlet Temp,Helium Temp,Oil Temp,High Side Press,Low Side Press,Current,Runtime (min),921_R,922_1_V,922_2_V,922_3_V,922_4_V,923A1_R,923A2_R
03/17/2017 12:21:24.909,18.100810,,0.123980,0.062229,0.004078,31.098284,0.000010,0.086000,0.000000,0.078768990,67.787000,3.274000,3.250000,476.765000,0.712534,3.241624,24.100000,40.200000,75.600000,35.500000,258.300000,79.700000,21.000000,35935.566667,22262.890000,1.043902,1.605046,1.605652,0.143057,2804.611000,4107.467000
03/17/2017 12:21:26.100,19.301930,,0.141978,0.071789,0.004664,30.405103,0.000010,0.086000,0.000000,0.078776610,67.787000,3.219000,3.250000,476.764000,0.712509,3.241518,24.200000,40.200000,75.600000,35.500000,260.500000,88.600000,20.000000,35935.566667,22258.850000,1.043900,1.606454,1.605649,0.143058,2804.670000,4107.665000
03/17/2017 12:21:27.312,20.493049,,0.161307,0.081937,0.005439,30.438125,0.000010,0.086000,0.000000,0.078794240,67.786000,3.194000,3.250000,476.822000,0.712663,3.241443,24.200000,40.200000,75.600000,35.500000,257.000000,76.900000,21.000000,35935.566667,22251.400000,1.043902,1.607113,1.605649,0.142922,2804.314000,4107.804000
03/17/2017 12:21:28.508,21.701170,,0.182423,0.093225,0.006271,29.659857,0.000010,0.086000,0.000000,0.078796900,67.785000,3.189000,3.250000,476.883000,0.712431,3.241337,24.200000,40.300000,75.600000,35.500000,254.500000,76.400000,22.000000,35935.566667,22250.730000,1.043902,1.607243,1.605650,0.142780,2804.848000,4108.002000
03/17/2017 12:21:29.712,22.901290,,0.205404,0.105193,0.007148,29.089365,0.000010,0.086000,0.000000,0.078791490,67.785000,3.225000,3.250000,476.892000,0.712268,3.241720,24.200000,40.200000,75.600000,35.600000,265.400000,88.900000,21.000000,35935.566667,22253.090000,1.043902,1.606299,1.605649,0.142759,2805.224000,4107.289000
03/17/2017 12:21:30.904,24.105411,,0.230226,0.118343,0.008112,28.734887,0.000010,0.086000,0.000000,0.078789810,67.785000,3.273000,3.250000,476.883000,0.712431,3.242061,24.200000,40.300000,75.600000,35.500000,259.100000,85.000000,20.000000,35935.566667,22253.860000,1.043902,1.605066,1.605652,0.142780,2804.848000,4106.656000
03/17/2017 12:21:32.112,25.298530,,0.256692,0.132359,0.009040,28.379921,0.000010,0.086000,0.000000,0.078794660,67.787000,3.249000,3.250000,476.842000,0.712354,3.241742,24.200000,40.200000,75.700000,35.600000,253.800000,73.600000,21.000000,35935.566667,22251.220000,1.043906,1.605696,1.605650,0.142876,2805.027000,4107.250000
03/17/2017 12:21:33.309,26.505651,,0.284233,0.146758,0.010110,28.394921,0.000010,0.086000,0.000000,0.078804330,67.785000,3.189000,3.250000,476.829000,0.712577,3.241965,24.200000,40.200000,75.600000,35.600000,267.000000,85.600000,21.000000,35935.566667,22247.070000,1.043902,1.607227,1.605648,0.142907,2804.512000,4106.834000
03/17/2017 12:21:34.513,27.698770,,0.313436,0.155070,0.011271,28.114737,0.000010,0.086000,0.000000,0.078811830,67.785000,3.183000,3.250000,476.767000,0.712466,3.241646,24.200000,40.200000,75.700000,35.500000,260.500000,88.600000,20.000000,35935.566667,22243.370000,1.043902,1.607380,1.605652,0.143052,2804.769000,4107.428000
03/17/2017 12:21:35.717,28.901890,,0.343730,0.170764,0.012449,27.808617,0.000010,0.086000,0.000000,0.078830580,67.784000,3.238000,3.250000,476.791000,0.712638,3.241667,24.200000,40.200000,75.700000,35.500000,253.500000,70.800000,22.000000,35935.566667,22234.360000,1.043904,1.605963,1.605650,0.142994,2804.373000,4107.388000
03/17/2017 12:21:36.913,30.106010,,0.375369,0.187088,0.013665,27.611660,0.000010,0.086000,0.000000,0.078854230,67.785000,3.270000,3.250000,476.801000,0.712457,3.241646,24.300000,40.200000,75.600000,35.600000,263.200000,81.800000,21.000000,35935.566667,22224.660000,1.043903,1.605144,1.605650,0.142972,2804.789000,4107.428000
03/17/2017 12:21:38.108,31.302130,,0.408369,0.204262,0.014922,27.468425,0.000010,0.086000,0.000000,0.078857450,67.783000,3.238000,3.250000,476.756000,0.712474,3.241369,24.200000,40.200000,75.600000,35.500000,262.200000,89.700000,20.000000,35935.566667,22223.360000,1.043906,1.605972,1.605649,0.143077,2804.750000,4107.942000
03/17/2017 12:21:39.306,32.503250,,0.443012,0.222319,0.016265,27.366372,0.000010,0.086000,0.000000,0.078858030,67.785000,3.202000,3.250000,476.649000,0.712526,3.241859,24.200000,40.200000,75.600000,35.600000,253.700000,70.900000,21.000000,35935.566667,22222.930000,1.043903,1.606896,1.605653,0.143328,2804.631000,4107.032000
03/17/2017 12:21:40.509,33.698370,,0.478932,0.241044,0.017693,27.237816,0.000010,0.086000,0.000000,0.078865640,67.784000,3.184000,3.250000,476.650000,0.712560,3.241443,24.200000,40.200000,75.600000,35.600000,256.700000,78.800000,21.000000,35935.566667,22219.130000,1.043904,1.607366,1.605650,0.143325,2804.552000,4107.804000
03/17/2017 12:21:41.715,34.898489,,0.516107,0.260425,0.019066,27.069210,0.000010,0.086000,0.000000,0.078881320,67.785000,3.204000,3.250000,476.714000,0.712723,3.241603,24.200000,40.200000,75.600000,35.600000,264.000000,90.100000,20.000000,35935.566667,22211.920000,1.043903,1.606843,1.605653,0.143176,2804.175000,4107.507000
03/17/2017 12:21:42.910,36.102610,,0.554785,0.280508,0.020605,27.069838,0.000010,0.086000,0.000000,0.078900630,67.785000,3.273000,3.250000,476.793000,0.712620,3.241795,24.200000,40.100000,75.600000,35.500000,254.200000,79.500000,20.000000,35935.566667,22203.280000,1.043902,1.605066,1.605651,0.142990,2804.413000,4107.151000
03/17/2017 12:21:44.124,37.298729,,0.594455,0.301213,0.022096,26.924872,0.000010,0.086000,0.000000,0.078925690,67.784000,3.264000,3.250000,476.933000,0.712526,3.241763,24.200000,40.200000,75.600000,35.500000,253.900000,75.700000,21.000000,35935.566667,22192.040000,1.043903,1.605295,1.605652,0.142663,2804.631000,4107.210000
03/17/2017 12:21:45.310,38.511851,,0.635265,0.322424,0.023668,26.903155,0.000010,0.086000,0.000000,0.078956430,67.786000,3.197000,3.250000,477.001000,0.712526,3.241656,24.200000,40.100000,75.600000,35.700000,262.700000,88.400000,20.000000,35935.566667,22177.300000,1.043901,1.607031,1.605650,0.142502,2804.631000,4107.408000
03/17/2017 12:21:46.524,39.695969,,0.676799,0.344083,0.025313,26.841046,0.000010,0.086000,0.000000,0.078997740,67.784000,3.185000,3.250000,477.095000,0.712431,3.241603,24.200000,40.200000,75.600000,35.600000,259.400000,86.700000,20.000000,35935.566667,22158.550000,1.043903,1.607348,1.605654,0.142284,2804.848000,4107.507000
03/17/2017 12:21:47.721,40.908091,,0.718991,0.366232,0.026972,26.736917,0.000010,0.086000,0.000000,0.079031590,67.785000,3.216000,3.250000,477.131000,0.712423,3.241827,24.200000,40.200000,75.700000,35.500000,253.700000,72.800000,21.000000,35935.566667,22144.260000,1.043902,1.606534,1.605650,0.142199,2804.868000,4107.091000
03/17/2017 12:21:48.910,42.108211,,0.762943,0.389063,0.028689,26.657422,0.000010,0.086000,0.000000,0.079058160,67.786000,3.260000,3.250000,477.207000,0.712492,3.241667,24.200000,40.200000,75.600000,35.600000,264.500000,84.700000,21.000000,35935.566667,22132.080000,1.043902,1.605403,1.605653,0.142020,2804.710000,4107.388000
03/17/2017 12:21:50.098,43.299330,,0.807401,0.401373,0.030375,26.593590,0.000010,0.086000,0.000000,0.079091020,67.784000,3.256000,3.250000,477.281000,0.712440,3.241954,24.200000,40.200000,75.600000,35.600000,258.200000,82.400000,20.000000,35935.566667,22117.130000,1.043905,1.605514,1.605651,0.141847,2804.829000,4106.854000
03/17/2017 12:21:51.302,44.491449,,0.852571,0.424940,0.032127,26.581238,0.000010,0.086000,0.000000,0.079139980,67.785000,3.217000,3.250000,477.329000,0.712689,3.241656,24.200000,40.200000,75.600000,35.500000,253.900000,74.800000,21.000000,35935.566667,22094.680000,1.043902,1.606527,1.605655,0.141736,2804.255000,4107.408000
03/17/2017 12:21:52.511,45.691569,,0.898869,0.448849,0.034019,26.537444,0.000010,0.086000,0.000000,0.079194470,67.786000,3.184000,3.250000,477.299000,0.712457,3.241379,24.200000,40.100000,75.600000,35.500000,260.800000,81.200000,21.000000,35935.566667,22070.090000,1.043901,1.607371,1.605654,0.141805,2804.789000,4107.922000
03/17/2017 12:21:53.711,46.899690,,0.946170,0.473272,0.035770,26.422555,0.000010,0.086000,0.000000,0.079253940,67.785000,3.190000,3.250000,477.253000,0.712577,3.241550,24.200000,40.200000,75.600000,35.600000,262.700000,90.200000,20.000000,35935.566667,22042.620000,1.043905,1.607205,1.605652,0.141912,2804.512000,4107.606000
03/17/2017 12:21:54.912,48.099810,,0.993590,0.497917,0.037600,26.451573,0.000010,0.086000,0.000000,0.079340100,67.785000,3.267000,3.250000,477.247000,0.712878,3.241784,24.200000,40.100000,75.600000,35.500000,253.100000,73.400000,21.000000,35935.566667,22002.790000,1.043902,1.605222,1.605655,0.141926,2803.819000,4107.170000
03/17/2017 12:21:56.115,49.302930,,1.040877,0.522407,0.039437,26.425380,0.000010,0.086000,0.000000,0.079451710,67.785000,3.272000,3.250000,477.248000,0.712784,3.241795,24.100000,40.200000,75.600000,35.500000,265.500000,77.800000,22.000000,35935.566667,21952.070000,1.043900,1.605089,1.605659,0.141925,2804.037000,4107.151000
03/17/2017 12:21:57.311,50.504050,,1.087970,0.546401,0.041285,26.393383,0.000010,0.086000,0.000000,0.079582450,67.785000,3.208000,3.250000,477.246000,0.712646,3.241507,24.100000,40.200000,75.600000,35.600000,264.500000,89.700000,20.000000,35935.566667,21892.890000,1.043902,1.606748,1.605654,0.141930,2804.354000,4107.685000
03/17/2017 12:21:58.511,51.700170,,1.134570,0.570741,0.043100,26.352480,0.000010,0.086000,0.000000,0.079709090,67.784000,3.188000,3.250000,477.230000,0.712775,3.241752,24.200000,40.200000,75.600000,35.600000,258.000000,82.200000,21.000000,35935.566667,21837.070000,1.043904,1.607251,1.605657,0.141966,2804.057000,4107.230000
03/17/2017 12:21:59.718,52.900290,,1.181418,0.595174,0.044917,26.324115,0.000010,0.086000,0.000000,0.079814940,67.784000,3.198000,3.250000,477.243000,0.712663,3.242040,24.200000,40.300000,75.600000,35.600000,253.800000,74.800000,22.000000,35935.566667,21789.790000,1.043905,1.607010,1.605658,0.141936,2804.314000,4106.695000
